门店编号,门店名称,总营业额,实收金额
1,Huachiew Uni. ม.หัวเฉียว,408477,406755
2,Tha Namnon ท่าน้ำนนท์,851328,847230
3,Sripathum Uni. ม.ศรีปทุม,1132806,1132022
4,Number One Palaza นัมเบอร์วันพลาซ่า,827167,822475
5,Lasalle ลาซาล,1025566,1021263
6,Samrong Market ตลาดสำโรง,440285,431179
7,Rewadee เรวดี,503423,500511
8,Bangkok Uni. ม.กรุงเทพ,665114,665114
9,Tha Nam Pak Kret ท่าน้ำปากเกร็ด,389537,385260
10,Phraeksa แพรกษา,732023,719299
11,Burapha Uni. ม.บูรพา,750294,748246
12,Khao Talo Pattaya เขาตาโล พัทยา,847687,847400
13,Photisarn Pattaya โพธิสาร พัทยา,791369,786460
14,Nern Plub Wan Pattaya เนินพลับหวาน พัทยา,762622,759107
15,Yes Bangphli เยส บางพล,506048,498064
16,Major Pak Kret เมเจอร์ ปากเกร็ด,624050,619279
17,"Saphan Daeng, Rangsit สะพานแดง รังสิต",601334,599571
18,Sahapat Sriracha เครือสหพัฒน์ ศรีราชา,1058790,1053713
19,Lang Rangsit Uni. หลัง ม.รังสิต,563011,559968
20,Rong Mai Kheed โรงไม้ขีด,878318,873871
21,Kheha Romklao เคหะร่มเกล้า,711826,711410
22,Thepkunakorn เทพคุณากร,768084,765138
23,Pracha Uthit ประชาอุทิศ,833025,829697
24,Samakkee สามัคคี,668303,661212
25,Min Buri มีนบุรี,843512,837636
26,Preeda School โรงเรียนปรีดา ดอนเมือง,469989,465239
27,Ladprao 122 ลาดพร้าว 122,995646,992689
28,Hollywood Pattaya ฮอลิวูด พัทยาใต้,966864,962797
29,Khao Noi Pattaya เขาน้อย พัทยา,601881,600307
31,Setthakij1 เศรษฐกิจ1,475447,475020
32,Nava Nakorn นวนคร,554241,553854
33,Bangpu Industrial Park นิคมอุตสาหกรรท บางปู,449081,444772
34,Bang Phut Parkret ตลาด บางพูด,409270,407572
35,UTCC หอ การค้า,1034110,1024596
36,Thongdee ซอยทองดี 2,785205,774376
37,Nakorn Rayong 1 นคร ระยอง 1,733326,727154
38,Tha Pradu ท่าประดู,501705,498048
39,Ladprao 112 ลาดพร้าว 112,366615,363932
40,Ying Charoen Market ยิ่งเจริญ,843895,842527
42,K-Avenue Klong 1 เค อเวนิว,472584,471274
44,Chan Road Sathon ถนนจันทน์,22578,22578
46,Banchang Rayong บ้านฉาง,617836,616096
47,Sodsai Rayong สดใส ระยอง,390570,388084.6
49,Panda Market Ayutthaya1 แพนด้า มาร์เก็ต,785701,784759
51,Khukot Rangsit คูคต รังสิต,386195,383595
52,โรจนะ อยุธยา 2,83943,83630
53,Ratchada รัชดาซอย 3,581201,577189
54,Buathong Square บัวทองสแควร์,132389,132270
55,Prachasamakkhi ประชาสามัคคี,467661,464780
56,Rama2 พระราม2,510725,500799
59,Wai Yai Samutprakarn,448265,446231
61,Bang Kradi,432640,418374
